period observation
1 0.5372303
2 0.7885497
3 1.788223
4 1.549845
5 1.548659
6 1.730898
7 0.4064322
8 -0.2913707
9 0.6362812
10 0.5014689
11 0.7991795
12 1.887242
13 2.333651
14 2.115234
15 3.122874
16 4.184863
17 3.412912
18 3.047902
19 3.636617
20 2.994231
21 3.602051
22 5.099634
23 5.423493
24 5.868201
25 6.569007
26 6.443501
27 7.33436
28 8.490943
29 7.72228
30 7.324479
31 8.511473
32 8.705645
33 8.033215
34 8.048472
35 7.178447
36 7.011717
37 8.564976
38 10.16778
39 10.40447
40 10.10101
41 9.982075
42 10.1835
43 11.67046
44 12.71354
45 12.5744
46 12.3672
47 12.7008
48 12.22295
49 13.15383
50 14.24342
51 15.32773
52 15.03713
53 15.37871
54 14.0941
55 13.69543
56 15.28239
57 16.17126
58 15.94471
59 16.41025
60 16.53947
61 16.27979
62 17.26235
63 17.32716
64 16.66398
65 17.47291
66 19.31938
67 19.37117
68 18.87978
69 20.11546
70 19.2227
71 18.26461
72 18.57463
73 18.0733
74 17.84331
75 19.23013
76 19.91073
77 19.50917
78 19.66697
79 19.88826
80 19.8482
81 20.52425
82 21.156
83 21.13945
84 22.56248
85 23.60425
86 23.23913
87 23.61524
88 24.685
89 25.35386
90 25.31709
91 26.19906
92 26.16901
93 25.04388
94 24.77626
95 25.14411
96 25.02671
97 26.27868
98 26.026
99 24.85256
100 25.26098
