PM25,PM10,CO,NO,NO2,NOx,O3,PH_RAIN,RAINFALL,RH,SO2,TEMP,UVB,WIND_DIREC,WIND_SPEED
20,35,0.12,1.21,13.27,14.48,22.8,0,0,90.51,1.5,14.77,0,33.16,4.24
16,28,0.11,0.98,9.17,10.15,25.7,0,0,90.25,1.4,14.91,0,30.16,4.36
16,26,0.33,0.78,7.98,8.76,26.9,0,0,90.24,1.5,15.03,0,35.15,4.27
15,33,0.32,1.08,10.51,11.58,25.4,0,0,90.41,2.3,14.95,0,35.3,4.01
13,30,0.32,1.07,15.44,16.51,16.4,0,0,91.48,2.4,14.72,0,34.57,4.13
16,31,0.3,0.51,11.15,11.66,20.7,0,0,90.81,2.8,14.8,0,37.34,4.51
21,34,0.29,0.45,10.75,11.2,22.4,0,0,90.92,2.5,14.94,0,43.44,4.44
27,36,0.28,0.84,8.19,9.03,25,0,0,90.31,2,15.04,0.2,35.52,5.01
26,31,0.28,1.22,5.54,6.77,26.9,0,0,87.83,1.8,15.57,0.9,47.45,4.59
27,30,0.28,1.78,4.79,6.57,24.7,0,0,82.11,1.6,17.29,2.2,49.02,2.99
21,32,0.34,3.7,8.19,11.89,22.4,0,0,68.62,1.7,20.79,4,44.86,3.64
13,32,0.37,4.41,9.03,13.44,24.9,0,0,72.67,2.4,20.64,5.1,75.47,4.2
16,38,0.37,4.05,11.19,15.25,32.7,0,0,73.2,3.4,20.52,5.3,40.72,3.7
19,48,0.32,2.56,8.15,10.7,42.3,0,0,77.42,2.9,19.41,4.4,65.55,6.18
20,52,0.31,2.1,8.82,10.93,40.1,0,0,82.15,2.5,17.81,2.4,50.77,5.38
20,49,0.33,2.31,12.01,14.32,35.4,0,0,83.91,2.7,17.31,1,59.66,5.38
23,42,0.36,1.77,12.7,14.47,32.5,0,0,86.04,2.3,16.71,0.3,54.11,6.19
28,37,0.4,0.97,14.13,15.09,28.8,0,0,91.32,2.2,15.37,0,60.86,6.01
27,42,0.37,0.65,15.04,15.69,24.9,0,0,91.5,2.4,15.02,0,49.02,5.54
24,45,0.38,0.75,14.7,15.45,23.1,0,0,90.48,2.2,14.99,0,45.84,5.67
25,43,0.36,0.82,14.27,15.09,22.6,0,0,89.22,1.7,14.97,0,36.26,5.03
27,45,0.37,0.82,15.63,16.45,18.5,0,0,89.85,1.8,14.88,0,33.52,4.42
25,49,0.37,0.68,12.75,13.43,18.4,0,0,89.95,2,14.78,0,39.9,3.86
26,46,0.35,0.74,9.98,10.72,21,0,0,89.62,2.1,14.68,0,45.63,5.1
22,35,0.35,0.83,11.07,11.9,20.2,0,0,89.31,2,14.58,0,38.63,5.2
15,31,0.35,0.58,12.74,13.32,17.7,0,0,90.47,2.1,14.25,0,36.03,4.39
19,36,0.33,0.64,11.44,12.08,18.6,0,0,90.21,1.9,14.1,0,39.25,4.37
18,35,0.31,0.62,10.92,11.54,19.2,0,0,90.32,2.4,13.97,0,39.23,4.35
21,35,0.31,0.51,10.61,11.12,19,0,0,90.43,2.6,13.74,0,38.5,5.82
27,42,0.32,0.78,10.75,11.53,18.4,0,0,89.33,2.6,13.67,0,41.35,4.41
30,45,0.34,0.9,13.05,13.94,15.6,0,0,88.68,2.7,13.58,0,33.63,4.92
33,45,0.4,1.28,14,15.28,17,0,0,86.85,3.1,13.39,0.2,35.13,5.52
35,45,0.43,2.24,12.97,15.22,20.1,0,0,84.1,3.7,13.52,0.8,39.23,5.27
38,54,0.48,4.08,13.43,17.51,21.6,0,0,79.19,4.4,14.29,2.3,48.85,6.48
39,67,0.53,5.84,14.38,20.22,25.9,0,0,73.98,5,15.49,3.9,51.01,7.13
42,66,0.54,5.18,14.63,19.82,33.2,0,0,69.96,5.1,16.33,4.9,61.2,6.79
36,59,0.5,3.6,11.64,15.25,39.6,0,0,67.67,4.2,16.99,4.9,56.37,4.78
36,56,0.44,2.615,9.005,11.625,42.3,0,0,63.86,3.4,17.59,4.1,53.86,4.92
38,58,0.41,1.63,6.37,8,45.8,0,0,61.6,4.3,18.07,2.7,60.22,5.3
35,62,0.43,1.67,10.33,12,41.4,0,0,63.63,4.3,17.79,1.1,56.37,6.22
33,65,0.45,1.39,13.98,15.37,31.6,0,0,68.47,5.5,16.48,0.2,50.54,5.46
30,63,0.47,0.94,18.81,19.75,25.3,0,0,71.27,5.4,15.59,0,45.58,5.1
42,61,0.48,0.82,18.49,19.31,22.7,0,0,75.19,5.3,14.95,0,37.83,4.32
50,68,0.49,0.7,15.28,15.98,22.5,0,0,78.76,5,14.25,0,28.59,2.61
48,73,0.5,0.44,13.19,13.62,22.2,0,0,81.35,4.7,13.79,0,30.66,3.17
49,74,0.49,0.67,11.08,11.74,22,0,0,82.88,4.2,13.5,0,25.76,3.41
53,66,0.47,0.69,7.7,8.39,25.6,0,0,82.6,4.1,13.5,0,28.52,2.96
53,63,0.49,0.55,7.46,8.02,24.3,0,0,82.69,4.3,13.49,0,22.46,2.83
52,66,0.52,0.59,7.89,8.49,22.5,0,0,82.82,4.6,13.48,0,29.37,2.68
55,67,0.55,0.73,13.44,14.17,14.7,0,0,84.44,4.4,13.27,0,34.58,4.01
57,75,0.66,0.63,10.42,11.05,15.2,0,0,85.32,4.3,13.17,0,34.52,3.98
50,80,0.66,0.67,10.05,10.72,13.9,0,0,86.57,3.8,13,0,32.87,3
48,76,0.66,0.56,10.72,11.28,9.1,0,0,87.58,3.4,12.83,0,25.39,2.28
57,70,0.68,3.95,17.82,21.77,5.2,0,0,88.02,3.4,12.75,0,27.06,2.6
54,74,0.7,2.91,13.27,16.18,4.1,0,0,88.13,3.3,12.73,0,24.61,2.02
53,81,0.8,13.68,16.78,30.46,2.9,0,0,87.52,3.4,12.98,0.1,30.99,2.13
59,76,0.8,19.48,16.07,35.55,3.2,0,0,80.19,3,15.16,0.9,306.47,0.64
43,64,0.39,2.46,7.91,10.36,26.6,0,0,64.34,3.2,18.77,1.9,186.64,2.26
29,54,0.39,3.68,11.27,14.96,29.2,0,0,61.6,2.9,19.58,2.9,195.06,2.64
52,80,0.68,7.76,24.42,32.18,30.4,0,0,65.33,5.5,19.56,3.4,43.3,3.21
74,109,0.7,9.43,21.29,30.72,25.1,0,0,69.49,6.1,18.75,4.6,55.1,3.48
71,110,0.63,3.38,15.7,19.08,51.3,0,0,64.58,5.6,19.22,3.7,78.95,3.52
66,102,0.56,1.97,12.59,14.56,56.8,0,0,66.31,5.4,19.16,2.4,315.43,4.07
63,97,0.53,1.61,11.16,12.77,52.5,0,0,70.86,5.2,18.3,1.1,41.04,4.01
59,95,0.51,0.99,12.74,13.73,48.1,0,0,76.31,4.7,16.89,0.3,38.5,2.88
57,91,0.52,0.8,16.41,17.21,37.5,0,0,80.31,4.6,15.75,0,22.45,2.19
55,89,0.53,0.67,20.41,21.08,23.4,0,0,85.22,4.7,14.78,0,25.26,2.41
55,92,0.62,3.32,29.22,32.54,8.9,0,0,88.34,4.5,14.11,0,14.19,1.74
49,91,0.61,4.57,25.16,29.73,2.4,0,0,88.74,2.4,13.52,0,22.77,0.72
41,86,0.58,0.85,13.59,14.44,17.8,0,0,87.28,2.2,13.69,0,341.77,0.55
47,94,0.61,0.67,19.41,20.09,22.4,0,0,85.1,4.2,14.21,0,249.89,0.65
54,111,0.61,0.5,13.87,14.36,35.1,0,0,80.78,3.3,15.22,0,214.15,1.27
61,107,0.55,0.57,15.04,15.61,33.4,0,0,81.54,2.6,14.51,0,186.12,1.17
59,94,0.5,0.49,10.18,10.67,33,0,0,84.84,2.2,13.43,0,162.86,0.94
55,91,0.5,0.65,8.97,9.62,37.5,0,0,80.28,2.4,14.01,0,209.74,0.66
60,83,0.45,0.52,10.05,10.56,35.4,0,0,80.49,2.5,13.43,0,162.38,0.96
57,74,0.39,0.25,8.89,9.14,37.4,0,0,80.73,2.3,12.92,0,177.45,1.07
51,67,0.4,0.11,7.06,7.17,38.5,0,0,77.73,2.5,13.09,0,231.14,0.48
45,53,0.36,0.55,6.18,6.73,33.7,0,0,79.15,2.1,12.49,0,184,0.75
40,44,0.39,1.1,6.25,7.34,35.7,0,0,67.49,3,14.47,0.2,236.63,1.11
38,52,0.45,8.41,16.59,25,22.4,0,0,61.43,2.9,17.05,1.1,212.42,1.88
31,49,0.26,2.18,4.59,6.77,33.3,0,0,48.75,1.8,19.59,2.5,192.26,2.6
28,48,0.35,2.71,9.93,12.64,41.6,0,0,47.08,3.8,21.44,4,181.29,3.69
72,110,0.88,4.11,32.27,36.38,74.8,0,0,54.69,5.5,21.52,4.7,188.22,3.76
110,152,0.87,2.6,28.29,30.89,98,0,0,54.95,4.6,22.03,4.8,188.69,2.96
95,139,0.66,1.63,20.15,21.77,102.6,0,0,52.73,5,22.7,3.8,190.18,3.63
84,118.5,0.57,1.3,16.02,17.32,87.1,0,0,57.21,6.7,21.82,2.4,191.96,3.49
80,98,0.61,2.39,21.99,24.37,71.7,0,0,59.6,11.1,21,1.1,22.88,1.61
80,114,0.69,2.27,27.1,29.37,51.5,0,0,70.47,10.3,19.41,0.3,175,0.78
98,142,0.91,2.65,38.68,41.33,29.5,0,0,77.38,7.3,17.95,0,51.94,0.45
107,152,1.07,8.51,49.63,58.14,8.8,0,0,80.58,4.8,16.65,0,103.38,0.45
100,135,1.08,14.25,47.08,61.32,8,0,0,75.46,8.5,16.67,0,103.27,0.88
83,105,1.07,21.47,50.83,72.31,4,0,0,70.88,12.6,17.69,0,103.19,0.45
69,89,0.88,11.42,37.66,49.08,4.3,0,0,75.21,6.3,17.26,0,70.77,0.69
66,83,0.51,0.97,13.66,14.63,28.3,0,0,74.55,4.3,17.1,0,70.75,0.45
61,75,0.47,0.71,14.01,14.71,29.3,0,0,74.14,7.2,16.98,0,45.46,1.09
60,79,0.58,7.19,30.93,38.12,15.6,0,0,79.04,7.7,15.96,0,35.09,3.83
76,112,0.92,10.41,43.39,53.81,1,0,0,90.16,8.1,14.33,0,39.1,4
96,147,0.84,1.91,41.45,43.35,6.5,0,0,91.07,7,14.04,0,36.63,4.66
97,138,0.63,0.73,21.43,22.16,24,0,0,90.24,4.5,14.39,0,48.26,6.42
