PM25,PM10,CO,NO,NO2,NOx,O3,RAINFALL,RH,SO2,TEMP,UVB
59,26,0.22,0.95,2.38,3.33,47.7,0,92,2.6,18.67,0
46,25,0.21,0.82,2.47,3.29,44.8,0,92,2,18.65,0
39,24,0.21,0.75,1.35,2.1,44.8,0,93,1.1,18.66,0
36,24,0.2,0.72,0.72,1.44,43.7,0,93,1.3,18.51,0
34,24,0.21,0.81,0.89,1.7,55.1,0,87,1.4,18.93,0
33,24,0.26,0.32,1.61,1.93,62.1,0,90,1.6,19.57,0
32,24,0.32,0.45,2.52,2.97,63.8,0,91,2.2,19.92,0.2
32,24,0.36,0.55,3.51,4.06,53.2,0,91,2.2,21.19,1.3
32,24,0.41,0.76,4.44,5.2,53.1,0,95,2.7,23.08,2.5
39,24,0.44,0.65,7.16,7.81,54.5,0,94,4.8,22.47,2.3
34,24,0.54,0.76,9.24,10,66.6,0,95,4.7,22.79,2.4
32,24,0.49,0.78,7.56,8.34,79.6,0,89,3.6,24.03,4.2
32,24,0.465,0.635,7.71,8.345,83.9,0,92,3.55,22.46,2.55
36,24,0.44,0.49,7.86,8.35,88.2,0,92,3.5,20.89,0.9
32,24,0.32,0.53,4.74,5.27,70.3,0,93,2,20.1,0.4
34,24,0.29,0.5,3.06,3.56,67.2,0,93,2.2,19.66,0.5
33,22,0.25,0.33,1.59,1.92,53.5,0,93,1.2,19.32,0.3
32,27,0.28,0.52,2.07,2.59,55,0,93,1.2,19.25,0.1
30,28,0.27,0.37,1.98,2.35,51.1,0,92,1.3,19.07,0
33,32,0.28,0.24,2.57,2.81,55.5,0,91,1.1,19.21,0
28,28,0.26,0.31,1.95,2.26,49.8,0,90,1.2,19.15,0
24,23,0.26,0.4,5.17,5.57,38.9,0,91,1.4,18.67,0
23,25,0.29,0.08,4.63,4.71,36.7,0,91,1.5,18.64,0
23,24,0.29,0.24,3.97,4.21,35.9,0,90,1.4,18.62,0
16,18,0.29,0.62,3.52,4.14,34,0,90,1.3,18.42,0
18,20,0.27,0.15,4.1,4.25,33.1,0,88,1.8,18.31,0
19,23,0.27,0.22,3.98,4.2,34.6,0,92,1.6,18.23,0
25,24,0.29,0.49,7.96,8.45,30.9,0,93,2.4,17.86,0
19,23,0.26,0.39,1.96,2.35,39.2,0,92,1.8,17.51,0
21,25,0.26,0.66,1.63,2.29,38.1,0,90,1.7,18.07,0.1
22,22,0.25,0.68,1.68,2.36,42.6,0,92,1.8,19.19,0.3
22,22,0.25,0.78,2.08,2.85,45.3,0,93,2.1,20.11,1.1
15,15,0.25,1.04,2.6,3.64,42.6,0.2,92,1.8,20.18,1.1
6,3,0.24,0.85,1.82,2.67,42.9,2,91,1.9,20.66,1.9
5,4,0.22,0.62,1.42,2.04,43.1,0.6,89,1.8,20.99,2.9
5,10,0.22,0.92,1.73,2.65,45,0.4,88,1.6,21.47,5.8
4,4,0.21,0.69,1.07,1.77,48.9,0.2,91,1.8,21.04,5.7
5,4,0.21,0.44,0.89,1.32,47.8,2.2,89,1.5,20.01,2.7
4,4,0.21,0.57,0.87,1.44,48,0.6,91,1.8,20.02,2.7
5,2,0.21,0.44,0.85,1.29,46.6,0.4,92,1.6,19.64,1.2
5,2,0.21,0.66,0.86,1.52,46.7,1.6,92,1.6,19.25,0.4
6,3,0.21,0.54,0.96,1.5,44.7,1,93,1.6,19.05,0.1
8,3,0.21,0.76,0.96,1.72,46.3,0.6,93,1.7,18.25,0
7,5,0.21,0.64,0.77,1.41,47.6,0.4,91,1.8,18.01,0
7,6,0.21,0.78,0.71,1.48,46.6,0.2,91,1.7,18.39,0
7,8,0.2,0.76,0.82,1.58,46,0.4,90,1.6,19.07,0
5,4,0.2,0.7,0.75,1.45,47.2,0.8,92,1.7,19.45,0
5,2,0.2,0.59,0.85,1.45,47.4,0.8,92,1.7,19.38,0
5,2,0.2,0.49,1,1.49,46.9,0.2,92,1.7,19.23,0
4,2,0.2,0.52,0.95,1.48,47.3,0.4,92,1.7,18.95,0
5,2,0.19,0.58,0.83,1.41,47.4,1,92,1.7,18.36,0
5,5,0.19,0.73,0.74,1.47,46.9,0.8,92,0.3,18.25,0
6,4,0.19,0.57,1.19,1.76,48.1,1.2,93,0.2,18.41,0
6,5,0.19,0.39,0.38,0.77,47.6,1,92,0.2,18.37,0
6,4,0.19,0.44,0.39,0.83,47.3,1,92,0.1,18.65,0.2
5,4,0.19,0.36,0.42,0.78,47.1,1.2,92,0.2,18.81,0.6
5,4,0.19,0.54,0.36,0.91,46.1,1.8,93,0.3,18.85,1.3
5,3,0.19,0.47,0.43,0.9,46.7,2.4,95,0.2,18.66,1.6
6,5,0.19,0.67,0.54,1.21,46.7,2.2,98,0.3,19.01,3
5,6,0.18,0.64,0.44,1.08,47,1.8,96,0.2,19.24,4.2
6,6,0.18,0.46,0.24,0.69,45.6,1.4,98,0.2,19.05,5
5,7,0.18,0.43,0.32,0.76,45.4,0.8,93,0.2,18.5,3.7
6,8,0.18,0.48,0.2,0.68,44.5,0,95,0.2,18.67,2.8
6,5,0.18,0.54,0.27,0.81,44.2,0.4,95,0.2,18.59,1.1
6,6,0.18,0.46,0.54,0.99,43.9,0,98,0.1,18.62,0.2
5,4,0.18,0.59,0.28,0.87,42.7,0,98,0.3,18.69,0.1
7,4,0.17,0.39,0.34,0.72,43.1,0,99,0.2,18.68,0
5,3,0.17,0.5,0.16,0.65,43.8,0.4,99,0.3,18.55,0
5,4,0.18,0.44,0.08,0.52,44.9,1,99,0.1,18.41,0
5,3,0.17,0.32,0.25,0.57,46.9,0.8,99,0.2,18.37,0
5,3,0.17,0.46,0.09,0.54,47.3,1.2,98,0.3,18.25,0
5,4,0.17,0.37,0.06,0.43,48.5,0.2,99,0.4,18.03,0
6,8,0.17,0.31,0.2,0.51,49.2,0,99,0.2,17.77,0
5,7,0.17,0.51,0.27,0.78,50.3,0,99,0.4,17.75,0
7,8,0.17,0.24,0.29,0.53,51.1,0,100,0.3,17.56,0
8,9,0.17,0.41,0.33,0.74,51.3,0.2,99,1.7,17.51,0
7,9,0.17,0.54,0.3,0.83,53.3,0,96,1.8,17.35,0
9,12,0.17,0.55,0.69,1.24,51.6,0,97,1.7,17.29,0.1
9,13,0.18,0.56,0.6,1.16,50.3,0,98,1.7,17.42,0.3
9,14,0.18,0.32,0.87,1.18,49.8,0,96,1.8,17.6,1
11,16,0.18,0.79,0.86,1.65,51.2,0,94,1.7,18.14,1.8
11,18,0.19,0.82,1.94,2.76,51.5,0,93,3.9,19.76,4.4
14,21,0.21,0.94,3.3,4.24,49.7,0,91,4.7,20.18,5.2
13,23,0.2,1,2.6,3.6,52.2,0,93,3.9,21.63,8.7
12,20,0.19,0.65,1.83,2.48,50.4,0,94,2.7,22.13,9
12,21,0.19,0.75,1.63,2.38,49.2,0,93,3,21.26,4.9
10,18,0.18,0.67,1.59,2.26,47.2,0,92,2.4,20.79,3.9
10,17,0.18,0.49,1.14,1.63,47.6,0,92,2.4,20.94,3
11,16,0.18,0.66,1.35,2.01,47.7,0,94,2,20.02,1.5
10,18,0.19,0.39,1.48,1.87,47.3,0,93,2,18.97,0.4
11,15,0.19,0.63,1.49,2.12,46,0,92,1.8,18.09,0
9,15,0.18,0.55,1.29,1.84,45.1,0,93,2,17.56,0
10,16,0.18,0.49,1.35,1.83,44.9,0,94,2,17.73,0
10,13,0.18,0.54,1.54,2.08,44.7,0,93,2.5,17.69,0
8,12,0.17,0.36,1.08,1.44,44.5,0,94,2.2,17.82,0
6,8,0.17,0.3,0.75,1.05,44.2,0,94,2,17.92,0
6,7,0.17,0.18,0.67,0.85,45.5,0,93,1.7,18.2,0
7,9,0.18,0.53,0.72,1.24,44.5,0,94,1.7,18.22,0
7,8,0.18,0.38,0.63,1.01,43.8,0,95,1.7,18.15,0
8,10,0.19,0.46,0.88,1.34,42.6,0,93,0.9,18.51,0
10,14,0.22,0.4,1.44,1.84,45.2,0,92,1.2,18.59,0
35,41,0.3,0.95,2.99,3.94,46.4,0,93,1.9,19.57,0.1
16,18,0.26,1.21,2.7,3.92,41.4,0,91,1.4,20.49,0.4
16,21,0.24,1.16,2.55,3.71,42.4,0,90,1.6,21.67,1.3
21,25,0.27,1.25,3.55,4.8,41.3,0,92,2.4,22.79,2.5
26,31,0.29,1.4,3.87,5.27,51.1,0,94,2.3,23.7,3.8
36,44,0.4,1.53,9.06,10.59,66.9,0,90,4.7,24.05,4.6
43,54,0.44,1.39,10.27,11.65,88.4,0,93,5.2,25.15,6
45,56,0.38,1.49,9.64,11.14,92.3,0,94,5.3,24.25,3.3
33,32,0.3,1.04,7.22,8.27,82.3,0,86,3.8,22.33,2.1
31,37,0.29,1.1,5.91,7.01,83.7,0,80,3.4,23.58,2.8
27,42,0.33,1.16,6.46,7.62,70.1,0,92,3.5,22.08,0.9
33,42,0.42,1.31,11.48,12.79,71,0,93,4.8,22.51,1
28,34,0.37,1.14,8.25,9.39,71,0,92,4,21.72,0.3
27,32,0.44,1.13,14.47,15.59,56.6,0,93,3.4,20.28,0
15,15,0.27,0.82,5.28,6.1,55.7,0,92,2.1,19.6,0
8,9,0.24,0.97,4.1,5.08,43,0,93,1.2,19.36,0
6,4,0.21,0.99,2.55,3.54,44.1,0,90,0.8,20.04,0
4,5,0.2,0.78,2.01,2.79,40.2,0,93,1,19.81,0
3,4,0.19,1.1,1.88,2.98,38.8,0,92,0.8,19.6,0
3,3,0.18,1.07,1.38,2.45,38.5,0.1,93,0.8,19.52,0
2,4,0.18,1.21,1.4,2.61,36.1,0.5,93,0.7,19.47,0
3,4,0.18,1.29,1.22,2.51,34.7,0.6,92,0.8,19.25,0
3,4,0.18,1.11,1.51,2.62,36,0.5,93,1.8,19.15,0
4,2,0.18,0.96,1.7,2.66,37.1,0.9,92,2,19.07,0
9,8,0.19,0.8,2.24,3.04,37.8,1.1,82,1.9,18.94,0.1
11,16,0.2,0.48,3.07,3.55,40.8,0.7,96,3,21.85,0.7
16,18,0.22,1,2.8,3.79,43.7,0,91,2.8,24.27,2.1
24,29,0.32,1.61,6.73,8.33,46.1,0,84,6.4,25.88,4.3
17,19,0.25,0.9,2.93,3.83,51.9,0,77,3.4,27.17,6.8
28,33,0.34,0.66,6.99,7.66,70.7,0.5,79,4.7,25.17,4.8
28,33,0.39,1.07,10.99,12.06,72.4,0.6,79,8.4,24.34,5.5
27,32,0.3,0.47,5.34,5.81,81.5,0,79,5.7,23.69,3.5
37,45,0.34,0.31,5.9,6.21,89.7,0,83,6.2,23.27,2.5
47,55,0.39,0.46,7.48,7.95,95.8,0,81,5.7,23.04,1.3
43,50,0.36,0.4,7.85,8.25,86.2,0,83,5.8,22.63,0.6
44,47,0.36,0.13,8.18,8.31,85.3,0,85,5.7,22.51,0.5
50,50,0.38,0.2,9.55,9.75,77.8,0,87,5.6,21.66,0
44,39,0.29,0.36,7.95,8.31,67.4,0,91,4.3,21.53,0
34,33,0.28,0.11,9.36,9.47,55.6,0,91,6.4,21.57,0
36,36,0.33,0.19,9.23,9.42,52.1,0,92,4.6,21.41,0
41,45,0.37,0.07,6.46,6.53,66,0,91,4.4,21.07,0
37,43,0.35,0.115,6.28,6.395,56.7,0,91,4.4,21.37,0
33,36,0.35,0.16,6.1,6.26,52.9,0,93,5.8,21.2,0
28,33,0.32,0.21,7.06,7.27,50,0,88,5,21.15,0
26,29,0.29,0.28,8.32,8.6,35,0,93,3.2,21.24,0
25,24,0.31,0.35,11.72,12.06,20.4,0,93,3.1,21.14,0
27,28,0.32,0.32,13.74,14.06,18.1,0,93,3,20.85,0
21,24,0.26,0.45,9.71,10.16,24.7,0,92,2.3,20.63,0
17,19,0.2,1.26,7.1,8.36,26.2,0,94,2.9,20.42,0
19,20,0.2,1.22,7.92,9.14,29.8,0,93,4.5,20.41,0.2
17,21,0.23,1.68,7.51,9.19,30.8,0,93,2.8,20.76,0.9
20,26,0.34,2.84,9.97,12.81,31.8,0,90,3.6,22.09,2.5
16,21,0.29,2.69,8.01,10.7,38.9,0,85,3.2,23.36,2.9
14,23,0.2,1.69,4.83,6.52,41,0,89,2.5,23.27,2.7
17,25,0.24,1.29,5.32,6.61,46.6,0,88,2.3,22.66,1.8
13,17,0.23,1.32,5.91,7.23,41.6,0.05,89,2.2,22.36,1.9
12,14,0.2,1.89,5.05,6.95,39.9,0.3,88,2.3,23.85,4.6
9,12,0.17,1.4,3.91,5.3,37.3,0.45,87,2,23.03,2.1
7,10,0.16,1.4,4.84,6.24,33.8,0.35,89,2.1,21.12,0.5
8,9,0.16,1.56,5.805,7.37,33.2,0,88,2.2,21.11,0.2
9,11,0.17,1.315,5.7,7.015,32.2,0.25,90,1.9,21.31,0
10,11,0.21,1.2725,6.13,7.4025,29.2,0,87,2.9,21.22,0
8,8,0.2,1.23,6.56,7.79,29.5,0,84,4.6,21.59,0
8,8,0.2,1.41,5.82,7.22,30.9,0,81,2.1,22.08,0
7,8,0.16,1.45,4.73,6.18,31.7,0,79,1.8,22.58,0
7,6,0.15,1.44,2.49,3.93,34.6,0,78,1.6,23.06,0
9,13,0.21,1.6,5.67,7.27,30.7,0,80,2.9,22.32,0
9,13,0.25,1.41,7.87,9.28,28.1,0,85,3.7,22.31,0
12,18,0.34,1.54,9.75,11.3,26.4,0,86,2.9,21.33,0
10,13,0.17,1.72,4.57,6.3,32,0,87,1.8,21.4,0
9,13,0.17,1.57,3.39,4.96,30.8,0,87,3.1,20.86,0
11,14,0.17,1.58,3.5,5.08,32.7,0,87,2.5,20.95,0
10,14,0.16,1.95,3.08,5.03,31.5,0,89,2.6,21.04,0
10,12,0.15,1.79,2.64,4.43,31.7,0.025,88,2.4,21.19,0.1
9,13,0.15,2,2.74,4.74,31.1,0.225,88,2.5,21.48,0.4
11,16,0.18,2.08,3.32,5.4,31,0,90,2.6,21.54,0.3
18,24,0.26,2.52,9.21,11.72,20.8,0,89,3.8,21.39,0.2
7,14,0.23,2.49,8.69,11.17,25.1,0,91,2.3,20.82,0.1
5,11,0.16,2.36,5.47,7.82,30.7,0,91,2,20.63,0.1
3,10,0.18,2.36,5.89,8.24,32.7,0,93,2,20.76,0.3
13,8,0.2,2.22,6.03,8.25,34.9,0,92,1.8,20.82,0.3
14,6,0.22,2.17,4.38,6.55,43.4,0,94,1.9,20.78,0.9
18,11,0.22,2.24,2.01,4.26,51.1,0.0125,93,1.9,20.61,0.9
21,16,0.22,2.29,2.01,4.31,52.3,0,94,1.8,20.68,0.9
21,16,0.24,2.38,3.58,5.97,43.5,0,93,2,20.3,0.4
19,12,0.23,2.5,3.42,5.92,38.6,0,92,2,19.76,0
20,15,0.23,2.26,3.72,5.98,46.5,0,92,2,18.9,0
33,34,0.29,2.46,2.07,4.54,63.7,0,90,2.7,17.76,0
45,53,0.32,2.51,1.53,4.04,73.8,0,81,3.1,19.49,0
61,89,0.36,2.46,1.09,3.55,84.4,0,81,2.7,19.46,0
45,68,0.32,2.23,1.84,4.07,66.8,0,88,2.6,18.56,0
36,49,0.28,2.35,2.76,5.11,53.2,0,93,2.2,18.6,0
27,30,0.25,2.58,5.2,7.78,34.9,0,93,2.5,19.73,0
31,34,0.3,2.71,4.75,7.46,40.7,0,94,2.5,19.35,0
32,38,0.29,2.55,3.64,6.2,44.3,0,95,1.8,19.3,0
28,34,0.27,2.44,1.7,4.14,57.3,0,96,1.5,18.9,0
40,50,0.3,0.5,4.525,5.025,59.3,0,92,1.7,18.54,0.1
47,56,0.32,0.4,5.375,5.775,71.1,0,92,1.6,19.24,0.4
51,66,0.34,0.355,5.28,5.635,68.3,0,92,1.7,20.09,1.2
50,65,0.33,0.335,3.83,4.165,68.5,0,92,1.9,21.23,2.4
50,65,0.33,0.38,3.65,4.03,68,0,91,2.1,23.44,5.3
68,84,0.4,0.44,4.76,5.2,80.5,0,84,3.5,25.07,7.6
74,93,0.4,0.46,7.47,7.93,84.5,0,88,3.6,24.12,8.6
67,75,0.39,0.93,4.15,5.08,84.7,0,78,4.2,24.04,8.5
46,50,0.31,1.14,4.355,5.495,79.3,0,80,3.5,25.06,7.3
42,78,0.29,1.645,4.605,6.25,73.9,0,89,2.5,25.94,5.6
35,70,0.3,0.945,3.26,4.205,79,0,68,2.7,25.37,3.4
46,80,0.25,1.245,3.125,4.375,82.9,0,62,2.4,23.15,1.5
58,91,0.33,1,3.02,4.02,88.3,0,80,3.1,19.84,0.4
53,69,0.35,0.9575,3.45,4.4075,87.5,0,81,3.1,17.87,0
51,75,0.37,0.915,3.88,4.795,86.9,0,86,2.8,17.16,0
50,70,0.35,1.025,2.965,3.99,86.2,0,90,2.7,16.91,0
44,65,0.32,1.1,3.435,4.535,85.3,0,94,2.2,16.91,0
38,54,0.29,1.07,5.475,6.55,81.3,0,94,2.1,16.86,0
35,49,0.28,1.085,2.295,3.38,79,0,94,2.1,16.83,0
36,52,0.31,1.275,2.14,3.415,81.9,0,94,2.1,16.88,0
37,51,0.31,1.3,1.97,3.27,82.1,0,92,2.2,16.87,0
47,64,0.35,1.56,5.205,6.76,84,0,93,2.3,16.91,0
44,49,0.34,1.48,3.335,4.81,85.2,0,71,1.8,17.12,0
44,66,0.32,1.41,3.615,5.025,84.9,0,87,1.7,17.57,0
40,58,0.29,1.42,1.605,3.03,79.7,0,92,1.4,16.81,0.1
28,45,0.27,1.49,2.39,3.885,75.5,0,86,1.5,19.14,0.7
22,33,0.25,1.43,2.46,3.89,74.9,0,80,1.4,21.27,2.1
27,42,0.24,1.555,1.365,2.92,71.6,0,86,1.5,22.36,4.3
19,32,0.21,1.415,1.52,2.935,66.2,0,88,1.2,22.96,6.5
17,24,0.22,1.59,3.2,4.79,64.6,0,86,1.2,22.94,8.5
17,25,0.23,1.575,2.42,4,65.1,0,83,1.4,22.96,9.4
17,27,0.24,0.55,2.8625,3.4125,65.2,0,90,1.5,22.58,8.9
22,33,0.26,0.4775,3.24,3.7175,72.3,0,88,2.4,22.57,7.6
26,41,0.27,0.49,2.425,2.915,74.1,0,90,2.5,22.53,5.5
25,45,0.25,0.53,4.335,4.865,70.5,0,94,2.1,21.69,3.3
20,34,0.22,0.87,2.7775,3.6475,65.5,0,98,1.8,19.56,1.5
17,29,0.21,0.7725,2.23,3.0025,64,0,94,1.5,17.78,0.4
18,28,0.2,0.8,2.11,2.91,61.7,0,96,1.1,16.88,0
17,24,0.2,0.7575,2.54,3.2975,60.1,0,96,1.2,16.67,0
17,24,0.19,0.85,2.3175,3.1675,58.9,0,93,1.2,16.34,0
17,28,0.19,0.8425,1.7475,2.59,65,0,94,1.5,16.25,0
18,25,0.2,0.95,1.585,2.535,65.7,0,96,1.3,15.96,0
16,22,0.2,1.04,2.2675,3.305,66.1,0,96,1.1,15.67,0
16,22,0.21,1.01,1.4025,2.415,64.8,0,97,1,15.5,0
16,21,0.21,1.015,1.83,2.845,65.6,0,96,1,15.41,0
15,19,0.23,1.0075,1.36,2.3675,67.5,0,96,0.9,15.38,0
14,19,0.23,1.0875,1.81,2.9,68.4,0,96,1.2,15.54,0
16,19,0.23,0.53875,2.22,2.75875,71.2,0,96,1.1,15.45,0
18,22,0.23,0.565,2.7675,3.3325,70.1,0,96,1.2,15.46,0.1
19,25,0.23,0.68625,1.715,2.40125,68,0,98,1.4,16.33,0.5
18,25,0.24,0.67875,1.87,2.54875,68.5,0,99,1.3,18.21,1.5
14,20,0.23,0.72125,1.47375,2.195,67.7,0,99,1.2,20.79,3.9
12,20,0.22,0.82,1.73375,2.5525,67.2,0,92,1.2,21.65,6.8
13,23,0.22,0.8075,1.515,2.3225,65.6,0,96,1.6,21.43,8.3
13,22,0.21,0.84375,1.505,2.35,66.3,0,88,1.3,21.14,9.6
12,21,0.2,0.5825,1.98375,2.56625,64.4,0,89,1.1,21.6,9.2
12,19,0.21,0.639375,1.535,2.174375,62.2,0,96,1.3,21.41,8
11,17,0.21,0.71,1.466875,2.17625,62.6,0,95,1.1,20.42,6.3
12,18,0.2,0.721875,1.3525,2.075,59.45,0,98,1.5,19.85,3.6
12,18,0.205,0.6196875,1.3675,1.9871875,56.3,0,92,1.9,18.55,1.7
14,19,0.2025,0.6609375,1.27625,1.9375,64.5,0,90,1.4,17.47,0.5
14,20,0.2,0.63046875,1.238125,1.86875,64.3,0,91,1.3,16.99,0
13,19,0.2,0.6,1.2,1.8,62.5,0,92,1.2,16.93,0
13,20,0.2,0.76,0.99,1.75,62.3,0,94,1.3,17.07,0
14,18,0.2,0.91,0.72,1.62,60.9,0,93,1.3,17.14,0
13,17,0.2,0.71,0.73,1.43,61.1,0,93,1.2,17.05,0
14,17,0.2,0.94,0.47,1.42,60.6,0,93,1.2,17.1,0
15,20,0.2,0.75,0.7,1.45,60.9,0,92,1.4,17.05,0
16,21,0.2,0.62,0.65,1.26,60,0,93,1.1,17.26,0
17,20,0.21,0.65,0.56,1.21,59.6,0,90,1.1,17.4,0
20,28,0.21,0.53,0.54,1.07,60,0,94,1.8,17.59,0
21,24,0.21,0.66,0.85,1.51,60.3,0,96,1.7,17.7,0
21,26,0.21,0.83,1,1.83,62.8,0,94,1.8,17.81,0.1
25,32,0.22,0.85,1.24,2.09,60.3,0,93,2.1,18.03,0.3
27,33,0.25,0.97,2.3,3.27,58.4,0,94,4.2,18.77,1.1
31,40,0.27,1.49,4.95,6.44,54.6,0,92,7.6,20.51,2.8
27,35,0.25,1.15,2.49,3.64,58,0,91,3.3,21.01,4.5
19,25,0.2,0.93,1.02,1.95,57.7,0,87,2,22.9,8.6
17,23,0.2,0.8,1.23,2.03,58.5,0,80,2,23,9.8
15,20,0.2,1.07,0.88,1.95,59.8,0,82,2,22.85,9.6
15,21,0.19,1.02,0.76,1.78,59.4,0,82,1.7,22.71,8.4
15,24,0.19,0.84,0.86,1.7,58.7,0,81,1.9,22.53,6.2
15,21,0.19,0.78,0.77,1.55,57.2,0,86,1.8,21.99,3.7
18,30,0.19,0.94,0.77,1.71,54.4,0,88,1.9,20.4,1.7
18,25,0.19,1.08,0.81,1.89,53.1,0,86,1.8,18.9,0.5
17,23,0.18,1.15,0.53,1.68,50.6,0,86,1.8,17.86,0
17,23,0.21,0.96,5.72,6.67,45.9,0,86,9.5,17.5,0
17,23,0.23,1.06,8.7,9.76,42.1,0,85,14.8,17.46,0
16,21,0.21,1.03,2.6,3.63,50.5,0,85,4.8,17.46,0
15,17,0.19,0.97,1.22,2.19,53.4,0,80,3.5,17.5,0
14,19,0.19,1.11,0.43,1.54,58.3,0,81,2.4,17.74,0
20,36,0.19,0.78,0.61,1.39,52.4,0,88,2.9,17.62,0
25,32,0.21,1.03,7.4,8.44,42.8,0,83,10.2,17.83,0
24,29,0.19,0.8,8.46,9.26,42.1,0,82,12,18.1,0
20,27,0.18,1.01,1.62,2.64,47.5,0,86,2.3,18.36,0
19,25,0.18,0.88,1.78,2.66,46.4,0,87,4.1,17.85,0
20,26,0.18,1.18,1.44,2.62,45.1,0,89,2.8,18.33,0.1
20,24,0.19,1.05,1.6,2.65,44.1,0,87,2.9,19.15,0.5
25,30,0.2,1.58,5.83,7.41,41.4,0,89,7.7,20.2,1.6
19,22,0.19,1.5,3.56,5.05,42.9,0,87,5.4,20.8,2.2
20,24,0.21,2.08,5.01,7.09,41.1,0,86,6.4,22.7,5.6
21,26,0.2,1.62,3.65,5.27,43.6,0,89,4.5,22.65,4.3
